,hannanum,kkma,komoran,okt
20,"('에게', 'JC')","('에게', 'JKM')","('에게', 'JKB')","('을', 'Josa')"
21,"('질문', 'NC')","('질문', 'NNG')","('질문', 'NNG')","('던지는', 'Verb')"
22,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('시', 'Modifier')"
23,"('던지', 'PV')","('던지', 'VV')","('던지', 'VV')","('간이', 'Noun')"
24,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('어', 'Suffix')"
25,"('시간', 'NC')","('시간', 'NNG')","('시간', 'NNG')","('야', 'Josa')"
26,"('이', 'JP')","('이', 'VCP')","('이', 'VCP')","('한다', 'Verb')"
27,"('어야', 'EC')","('어야', 'ECD')","('어야', 'EC')","('.', 'Punctuation')"
28,"('하', 'PX')","('하', 'VV')","('하', 'VX')",-
29,"('ㄴ다', 'EF')","('ㄴ다', 'EFN')","('ㄴ다', 'EF')",-
30,"('.', 'SF')","('.', 'SF')","('.', 'SF')",-
0,"('이', 'NC')","('이', 'NP')","('이', 'NP')","('이', 'Noun')"
1,"('들', 'XS')","('들', 'XSN')","('들', 'XSN')","('들', 'Suffix')"
2,"('이', 'JC')","('이', 'JKS')","('이', 'JKS')","('이', 'Josa')"
3,"('책', 'NC')","('책', 'NNG')","('책', 'NNG')","('책', 'Noun')"
4,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('을', 'Josa')"
5,"('찾', 'PV')","('찾', 'VV')","('찾', 'VV')","('찾은', 'Verb')"
6,"('은', 'ET')","('은', 'ETD')","('은', 'ETM')","('것', 'Noun')"
7,"('것', 'NB')","('것', 'NNB')","('것', 'NNB')","('도', 'Josa')"
8,"('도', 'JX')","('도', 'JX')","('도', 'JX')","('혼란', 'Noun')"
9,"('혼란', 'NC')","('혼란', 'NNG')","('혼란', 'NNG')","('스러운', 'Josa')"
10,"('스럽', 'XS')","('스럽', 'XSA')","('스럽', 'XSA')","('현실', 'Noun')"
11,"('은', 'ET')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('을', 'Josa')"
12,"('현실', 'NC')","('현실', 'NNG')","('현실', 'NNG')","('외면', 'Noun')"
13,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('하려', 'Verb')"
14,"('외면', 'NC')","('외면', 'NNG')","('외면', 'NNG')","('한', 'Verb')"
15,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('것', 'Noun')"
16,"('려', 'EC')","('려', 'ECD')","('려', 'EC')","('이', 'Josa')"
17,"('하', 'PV')","('하', 'VV')","('한', 'MM')","('아니라', 'Adjective')"
18,"('ㄴ', 'ET')","('ㄴ', 'ETD')","('것', 'NNB')","('자신', 'Noun')"
19,"('것', 'NB')","('것', 'NNB')","('이', 'JKS')","('의', 'Josa')"
20,"('이', 'JC')","('이', 'JKC')","('아니', 'VCN')","('삶', 'Noun')"
21,"('아니', 'PA')","('아니', 'VCN')","('라', 'EC')","('에', 'Josa')"
22,"('라', 'EC')","('라', 'ECD')","('자신', 'NNG')","('대한', 'Noun')"
23,"('자신', 'NC')","('자신', 'NNG')","('의', 'JKG')","('숙고', 'Noun')"
24,"('의', 'JC')","('의', 'JKG')","('삶', 'NNG')","('의', 'Josa')"
25,"('삶', 'NC')","('삶', 'NNG')","('에', 'JKB')","('시간', 'Noun')"
26,"('에', 'JC')","('에', 'JKM')","('대하', 'VV')","('이', 'Josa')"
27,"('대하', 'PV')","('대하', 'VV')","('ㄴ', 'ETM')","('필요했기', 'Adjective')"
28,"('ㄴ', 'ET')","('ㄴ', 'ETD')","('숙고', 'NNG')","('때문', 'Noun')"
29,"('숙고', 'NC')","('숙고', 'NNG')","('의', 'JKG')","('이다', 'Josa')"
30,"('의', 'JC')","('의', 'JKG')","('시간', 'NNG')","('.', 'Punctuation')"
31,"('시간', 'NC')","('시간', 'NNG')","('이', 'JKS')",-
32,"('이', 'JC')","('이', 'JKS')","('필요', 'NNG')",-
33,"('필요', 'NC')","('필요', 'NNG')","('하', 'XSV')",-
34,"('하', 'XS')","('하', 'XSV')","('았', 'EP')",-
35,"('었', 'EP')","('었', 'EPT')","('기', 'ETN')",-
36,"('기', 'ET')","('기', 'ETN')","('때문', 'NNB')",-
37,"('때문', 'NB')","('때문', 'NNB')","('이', 'VCP')",-
38,"('이', 'JP')","('이', 'VCP')","('다', 'EF')",-
39,"('다', 'EF')","('다', 'EFN')","('.', 'SF')",-
40,"('.', 'SF')","('.', 'SF')",-,-
0,"('또한', 'MA')","('또한', 'MAG')","('또한', 'MAJ')","('또한', 'Noun')"
1,"('독', 'NC')","('독서', 'NNG')","('독서', 'NNG')","('독서', 'Noun')"
2,"('서', 'JC')","('는', 'JX')","('는', 'JX')","('는', 'Josa')"
3,"('는', 'JX')","('자신', 'NNG')","('자신', 'NNG')","('자신', 'Noun')"
4,"('자신', 'NC')","('을', 'JKO')","('을', 'JKO')","('을', 'Josa')"
5,"('을', 'JC')","('둘러싸', 'VV')","('둘러싸', 'VV')","('둘러싼', 'Verb')"
6,"('둘러싸', 'PV')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('현실', 'Noun')"
7,"('ㄴ', 'ET')","('현실', 'NNG')","('현실', 'NNG')","('을', 'Josa')"
8,"('현실', 'NC')","('을', 'JKO')","('을', 'JKO')","('올바로', 'Noun')"
9,"('을', 'JC')","('올바로', 'MAG')","('올바로', 'MAG')","('인식', 'Noun')"
10,"('오', 'PX')","('인식', 'NNG')","('인식', 'NNG')","('하고', 'Josa')"
11,"('ㄹ', 'ET')","('하', 'XSV')","('하', 'XSV')","('당면', 'Noun')"
12,"('바', 'NB')","('고', 'ECE')","('고', 'EC')","('한', 'Josa')"
13,"('로', 'JC')","('당면', 'NNG')","('당면', 'NNG')","('문제', 'Noun')"
14,"('일', 'PV')","('하', 'XSV')","('하', 'XSV')","('를', 'Josa')"
15,"('ㄴ', 'ET')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('해결', 'Noun')"
16,"('식', 'NB')","('문제', 'NNG')","('문제', 'NNG')","('할', 'Verb')"
17,"('하고', 'JC')","('를', 'JKO')","('를', 'JKO')","('논리', 'Noun')"
18,"('당면한', 'NC')","('해결', 'NNG')","('해결', 'NNG')","('와', 'Josa')"
19,"('문제', 'NC')","('하', 'XSV')","('하', 'XSV')","('힘', 'Noun')"
20,"('를', 'JC')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('을', 'Josa')"
21,"('해결', 'NC')","('논리', 'NNG')","('논리', 'NNG')","('지니', 'Noun')"
22,"('하', 'XS')","('와', 'JKM')","('와', 'JC')","('게', 'Josa')"
23,"('ㄹ', 'ET')","('힘', 'NNG')","('힘', 'NNG')","('한다', 'Verb')"
24,"('논리', 'NC')","('을', 'JKO')","('을', 'JKO')","('.', 'Punctuation')"
25,"('와', 'JC')","('지니', 'VV')","('지니', 'VV')",-
26,"('힘', 'NC')","('게', 'ECD')","('게', 'EC')",-
27,"('을', 'JC')","('하', 'VV')","('하', 'VX')",-
28,"('지니', 'PV')","('ㄴ다', 'EFN')","('ㄴ다', 'EF')",-
29,"('게', 'EC')","('.', 'SF')","('.', 'SF')",-
30,"('하', 'PX')",-,-,-
31,"('ㄴ다', 'EF')",-,-,-
32,"('.', 'SF')",-,-,-
0,"('책', 'NC')","('책', 'NNG')","('책', 'NNG')","('책', 'Noun')"
1,"('은', 'JX')","('은', 'JX')","('은', 'JX')","('은', 'Josa')"
2,"('세상', 'NC')","('세상', 'NNG')","('세상', 'NNG')","('세상', 'Noun')"
3,"('에', 'JC')","('에', 'JKM')","('에', 'JKB')","('에', 'Josa')"
4,"('대하', 'PV')","('대하', 'VV')","('대하', 'VV')","('대한', 'Noun')"
5,"('ㄴ', 'ET')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('안목', 'Noun')"
6,"('안목', 'NC')","('안목', 'NNG')","('안목', 'NNG')","('을', 'Josa')"
7,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('키우는', 'Verb')"
8,"('키우', 'PV')","('키우', 'VV')","('키우', 'VV')","('데', 'Noun')"
9,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('필요한', 'Adjective')"
10,"('데', 'NB')","('데', 'NNB')","('데', 'NNB')","('지식', 'Noun')"
11,"('필요', 'NC')","('필요', 'NNG')","('필요', 'NNG')","('을', 'Josa')"
12,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('담고', 'Verb')"
13,"('ㄴ', 'ET')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('있으며', 'Adjective')"
14,"('지식', 'NC')","('지식', 'NNG')","('지식', 'NNG')","(',', 'Punctuation')"
15,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('독서', 'Noun')"
16,"('담', 'PV')","('담', 'VV')","('담', 'VV')","('는', 'Josa')"
17,"('고', 'EC')","('고', 'ECE')","('고', 'EC')","('그', 'Noun')"
18,"('있', 'PX')","('있', 'VXV')","('있', 'VV')","('지식', 'Noun')"
19,"('으며', 'EC')","('으며', 'ECE')","('으며', 'EC')","('을', 'Josa')"
20,"(',', 'SP')","(',', 'SP')","(',', 'SP')","('얻는', 'Verb')"
21,"('독', 'NC')","('독서', 'NNG')","('독서', 'NNG')","('과정', 'Noun')"
22,"('서', 'JC')","('는', 'JX')","('는', 'JX')","('이다', 'Josa')"
23,"('는', 'JX')","('그', 'MDT')","('그', 'MM')","('.', 'Punctuation')"
24,"('그', 'MM')","('지식', 'NNG')","('지식', 'NNG')",-
25,"('지식', 'NC')","('을', 'JKO')","('을', 'JKO')",-
26,"('을', 'JC')","('얻', 'VV')","('얻', 'VV')",-
27,"('얻', 'PV')","('는', 'ETD')","('는', 'ETM')",-
28,"('는', 'ET')","('과정', 'NNG')","('과정', 'NNG')",-
29,"('과정', 'NC')","('이', 'VCP')","('이', 'VCP')",-
30,"('이', 'JP')","('다', 'EFN')","('다', 'EF')",-
31,"('다', 'EF')","('.', 'SF')","('.', 'SF')",-
32,"('.', 'SF')",-,-,-
0,"('독자', 'NC')","('독자', 'NNG')","('독자', 'NNG')","('독자', 'Noun')"
1,"('의', 'JC')","('의', 'JKG')","('의', 'JKG')","('의', 'Josa')"
2,"('생각', 'NC')","('생각', 'NNG')","('생각', 'NNG')","('생각', 'Noun')"
3,"('과', 'JC')","('과', 'JKM')","('과', 'JC')","('과', 'Josa')"
4,"('오랜', 'MM')","('오랜', 'MDT')","('오랜', 'MM')","('오랜', 'Adverb')"
5,"('세', 'NN')","('세월', 'NNG')","('세월', 'NNG')","('세월', 'Noun')"
6,"('월', 'NB')","('축적', 'NNG')","('축적', 'NNG')","('축적', 'Noun')"
7,"('축적', 'NC')","('되', 'XSV')","('되', 'XSV')","('된', 'Verb')"
8,"('되', 'XS')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('지식', 'Noun')"
9,"('ㄴ', 'ET')","('지식', 'NNG')","('지식', 'NNG')","('의', 'Josa')"
10,"('지식', 'NC')","('의', 'JKG')","('의', 'JKG')","('만남', 'Noun')"
11,"('의', 'JC')","('만남', 'NNG')","('만남', 'NNG')","('은', 'Josa')"
12,"('만나', 'PV')","('은', 'JX')","('은', 'JX')","('독자', 'Noun')"
13,"('ㅁ', 'ET')","('독자', 'NNG')","('독자', 'NNG')","('에게', 'Josa')"
14,"('은', 'JX')","('에게', 'JKM')","('에게', 'JKB')","('올바른', 'Adjective')"
15,"('독자', 'NC')","('올바르', 'VA')","('올바르', 'VA')","('식견', 'Noun')"
16,"('에게', 'JC')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('을', 'Josa')"
17,"('올바르', 'PA')","('식견', 'NNG')","('식견', 'NNG')","('갖추고', 'Verb')"
18,"('ㄴ', 'ET')","('을', 'JKO')","('을', 'JKO')","('당면', 'Noun')"
19,"('식견', 'NC')","('갖추', 'VV')","('갖추', 'VV')","('한', 'Josa')"
20,"('을', 'JC')","('고', 'ECE')","('고', 'EC')","('문제', 'Noun')"
21,"('갖추', 'PV')","('당면', 'NNG')","('당면', 'NNG')","('를', 'Josa')"
22,"('고', 'EC')","('하', 'XSV')","('하', 'XSV')","('해결', 'Noun')"
23,"('당면한', 'NC')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('할', 'Verb')"
24,"('문제', 'NC')","('문제', 'NNG')","('문제', 'NNG')","('방법', 'Noun')"
25,"('를', 'JC')","('를', 'JKO')","('를', 'JKO')","('을', 'Josa')"
26,"('해결', 'NC')","('해결', 'NNG')","('해결', 'NNG')","('모색', 'Noun')"
27,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('하도록', 'Verb')"
28,"('ㄹ', 'ET')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('함', 'Noun')"
29,"('방법', 'NC')","('방법', 'NNG')","('방법', 'NNG')","('으로써', 'Josa')"
30,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('세상', 'Noun')"
31,"('모색', 'NC')","('모색', 'NNG')","('모색', 'NNG')","('을', 'Josa')"
32,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('바꾼다', 'Verb')"
33,"('도록', 'EC')","('도록', 'ECD')","('도록', 'EC')","('.', 'Punctuation')"
34,"('하', 'PV')","('하', 'VV')","('하', 'VV')",-
35,"('ㅁ', 'ET')","('ㅁ', 'ETN')","('ㅁ', 'ETN')",-
36,"('으로써', 'JC')","('으로써', 'JKM')","('으로써', 'JKB')",-
37,"('세상', 'NC')","('세상', 'NNG')","('세상', 'NNG')",-
38,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')",-
39,"('바꾸', 'PV')","('바꾸', 'VV')","('바꾸', 'VV')",-
40,"('ㄴ다', 'EF')","('ㄴ다', 'EFN')","('ㄴ다', 'EF')",-
41,"('.', 'SF')","('.', 'SF')","('.', 'SF')",-
0,"('세상', 'NC')","('세상', 'NNG')","('세상', 'NNG')","('세상', 'Noun')"
1,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('을', 'Josa')"
2,"('변화', 'NC')","('변화', 'NNG')","('변화', 'NNG')","('변화', 'Noun')"
3,"('시키', 'XS')","('시키', 'XSV')","('시키', 'XSV')","('시킬', 'Verb')"
4,"('ㄹ', 'ET')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('동력', 'Noun')"
5,"('동력', 'NC')","('동력', 'NNG')","('동력', 'NNG')","('을', 'Josa')"
6,"('을', 'JC')","('을', 'JKO')","('을', 'JKO')","('얻는', 'Verb')"
7,"('얻', 'PV')","('얻', 'VV')","('얻', 'VV')","('이', 'Noun')"
8,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('시간', 'Noun')"
9,"('이', 'MM')","('이', 'MDT')","('이', 'MM')","('은', 'Josa')"
10,"('시간', 'NB')","('시간', 'NNG')","('시간', 'NNG')","('책', 'Noun')"
11,"('은', 'JX')","('은', 'JX')","('은', 'JX')","('에', 'Josa')"
12,"('책', 'NC')","('책', 'NNG')","('책', 'NNG')","('있는', 'Adjective')"
13,"('에', 'JC')","('에', 'JKM')","('에', 'JKB')","('정보', 'Noun')"
14,"('있', 'PX')","('있', 'VV')","('있', 'VV')","('를', 'Josa')"
15,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('이해', 'Noun')"
16,"('정보', 'NC')","('정보', 'NNG')","('정보', 'NNG')","('하는', 'Verb')"
17,"('를', 'JC')","('를', 'JKO')","('를', 'JKO')","('데', 'Noun')"
18,"('이해', 'NC')","('이해', 'NNG')","('이해', 'NNG')","('그치는', 'Verb')"
19,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('것', 'Noun')"
20,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('이', 'Josa')"
21,"('데', 'NB')","('데', 'NNB')","('데', 'NNB')","('아니라', 'Adjective')"
22,"('그치', 'PV')","('그치', 'VV')","('그치', 'VV')","('그', 'Noun')"
23,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('정보', 'Noun')"
24,"('것', 'NB')","('것', 'NNB')","('것', 'NNB')","('가', 'Josa')"
25,"('이', 'JC')","('이', 'JKC')","('이', 'JKS')","('자신', 'Noun')"
26,"('아니', 'PA')","('아니', 'VCN')","('아니', 'VCN')","('의', 'Josa')"
27,"('라', 'EC')","('라', 'ECD')","('라', 'EC')","('관점', 'Noun')"
28,"('그', 'MM')","('그', 'MDT')","('그', 'MM')","('에서', 'Josa')"
29,"('정보', 'NC')","('정보', 'NNG')","('정보', 'NNG')","('문제', 'Noun')"
30,"('가', 'JC')","('가', 'JKS')","('가', 'JKS')","('를', 'Josa')"
31,"('자신', 'NC')","('자신', 'NNG')","('자신', 'NNG')","('해결', 'Noun')"
32,"('의', 'JC')","('의', 'JKG')","('의', 'JKG')","('할', 'Verb')"
33,"('관점', 'NC')","('관점', 'NNG')","('관점', 'NNG')","('수', 'Noun')"
34,"('에서', 'JC')","('에서', 'JKM')","('에서', 'JKB')","('있는', 'Adjective')"
35,"('문제', 'NC')","('문제', 'NNG')","('문제', 'NNG')","('타당', 'Noun')"
36,"('를', 'JC')","('를', 'JKO')","('를', 'JKO')","('한', 'Josa')"
37,"('해결', 'NC')","('해결', 'NNG')","('해결', 'NNG')","('정보', 'Noun')"
38,"('하', 'XS')","('하', 'XSV')","('하', 'XSV')","('인지', 'Noun')"
39,"('ㄹ', 'ET')","('ㄹ', 'ETD')","('ㄹ', 'ETM')","('를', 'Josa')"
40,"('수', 'NB')","('수', 'NNB')","('수', 'NNB')","('판단', 'Noun')"
41,"('있', 'PX')","('있', 'VV')","('있', 'VV')","('하고', 'Josa')"
42,"('는', 'ET')","('는', 'ETD')","('는', 'ETM')","('분석', 'Noun')"
43,"('타당한', 'NC')","('타당', 'XR')","('타당', 'XR')","('하는', 'Verb')"
44,"('정보', 'NC')","('하', 'XSA')","('하', 'XSA')","('시', 'Modifier')"
45,"('이', 'JP')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('간이', 'Noun')"
46,"('ㄴ', 'ET')","('정보', 'NNG')","('정보', 'NNG')","('어', 'Suffix')"
47,"('지', 'NB')","('인지', 'NNG')","('인지', 'NNP')","('야', 'Josa')"
48,"('를', 'JC')","('를', 'JKO')","('를', 'JKO')","('한다', 'Verb')"
49,"('판단', 'NC')","('판단', 'NNG')","('판단', 'NNG')","('.', 'Punctuation')"
50,"('하고', 'JC')","('하', 'XSV')","('하', 'XSV')",-
51,"('분석', 'NC')","('고', 'ECE')","('고', 'EC')",-
52,"('하', 'XS')","('분석', 'NNG')","('분석', 'NNG')",-
53,"('는', 'ET')","('하', 'XSV')","('하', 'XSV')",-
54,"('시간', 'NC')","('는', 'ETD')","('는', 'ETM')",-
55,"('이', 'JP')","('시간', 'NNG')","('시간', 'NNG')",-
56,"('어야', 'EC')","('이', 'VCP')","('이', 'VCP')",-
57,"('하', 'PX')","('어야', 'ECD')","('어야', 'EC')",-
58,"('ㄴ다', 'EF')","('하', 'VV')","('하', 'VX')",-
59,"('.', 'SF')","('ㄴ다', 'EFN')","('ㄴ다', 'EF')",-
60,-,"('.', 'SF')","('.', 'SF')",-
0,"('서', 'PV')","('서가', 'NNG')","('서가', 'NNG')","('서가', 'Verb')"
1,"('어', 'EC')","('앞', 'NNG')","('앞', 'NNG')","('앞', 'Noun')"
2,"('가', 'PX')","('에', 'JKM')","('에', 'JKB')","('에', 'Josa')"
3,"('아', 'EC')","('서', 'VV')","('서', 'VV')","('선', 'Noun')"
4,"('앞', 'NC')","('ㄴ', 'ETD')","('ㄴ', 'ETM')","('사람', 'Noun')"
5,"('에', 'JC')","('사람', 'NNG')","('사람', 'NNG')","('들', 'Suffix')"
