0,1
안녕하__000002,VA
세요,EF
?,SF
저__03,NP
는,JX
이수미,NNP
이,VCP
ㅂ니다,EF
.,SF
여러분,NP
은,JX
이__05,MM
수업__040001,NNG
을,JKO
통하__000704,VV
여,EC
고맙__010000,VA
ㄴ,ETM
일__010009,NNG
에,JKB
대하__020003,VV
여,EC
감사__080002,NNG
의,JKG
표현__000001,NNG
을,JKO
하__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그리고,MAJ
친하,VA
ㄴ,ETM
사이__010004,NNG
에,JKB
반말__000001,NNG
을,JKO
사용하__030001,VV
여,EC
이야기하__000101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
을,JKO
살펴보__000003,VV
겠,EP
습니다,EF
.,SF
축하하,VV
다,EC
저__03,NP
의,JKG
생일__020000,NNG
이,VCP
라서,EC
친구__020001,NNG
들__09,XSN
이,JKS
축하하,VV
여,EC
주__01,VX
었,EP
어요,EF
.,SF
선물__030000,NNG
을,JKO
풀__000101,VV
어,EC
보__01,VX
다,EC
선물__030000,NNG
을,JKO
풀__000101,VV
어,EC
보__01,VX
고,EC
너무__01,MAG
좋__010201,VA
아서,EC
행복하,VA
였,EP
어요,EF
.,SF
한턱내,VV
다,EC
이번__010000,NNG
시험__030001,NNG
에서,JKB
제__01,NP
가,JKS
1,SN
등__05,NNB
하,XSV
여서,EC
한턱내,VV
었,EP
어요,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
",",SP
모두__01,MAG
확인하__000001,VV
였,EP
어요,EF
?,SF
그럼__01,MAJ
학습__000001,NNG
을,JKO
시작하__010001,VV
여,EC
보__01,VX
겠,EP
습니다,EF
.,SF
피터,NNP
의,JKG
생일__020000,NNG
에,JKB
민수__99,NNP
가,JKS
피터,NNP
에게,JKB
생일__020000,NNG
선물__030000,NNG
을,JKO
주__010101,VV
었,EP
어요,EF
.,SF
피터,NNP
와,JC
민수__99,NNP
의,JKG
대화__060000,NNG
를,JKO
듣__010201,VV
어,EC
보__01,VX
세요,EF
.,SF
피터,NNP
",",SP
오늘__000101,NNG
생일__020000,NNG
이,VCP
지,EF
?,SF
축하하,VV
여,EF
.,SF
이것,NP
ㄴ,JX
내__04,NP
가,JKS
준비하,VV
ㄴ,ETM
작__010001,VA
은,ETM
선물__030000,NNG
이,VCP
야,EF
.,SF
와__02,IC
",",SP
역시__01,MAG
너__01,NP
밖__000001,NNG
에,JKB
없__010103,VA
어,EF
.,SF
민수__99,NNP
야,JKV
고맙__010000,VA
어,EF
.,SF
선물__030000,NNG
풀__000101,VV
어,EC
보__01,VX
아도,EC
되__010401,VV
어,EF
?,SF
그럼__01,MAJ
