0,1
안녕하__000002,VA
세요,EF
.,SF
다문화,NNG
가정__060002,NNG
이,VCP
란,ETM
말__010003,NNG
을,JKO
듣__010201,VV
어,EC
보__01,VX
시,EP
ㄴ,ETM
적__03,NNB
있__010302,VA
으시,EP
ㅂ니까,EF
?,SF
다문화,NNG
가정__060002,NNG
이,VCP
란,ETM
?,SF
서로__01,MAG
다르__010001,VA
ㄴ,ETM
국적__020001,NNG
",",SP
인종__010002,NNG
이나,JC
문화__010001,NNG
를,JKO
지니__000201,VV
ㄴ,ETM
사람__000001,NNG
들__09,XSN
로,JKB
구성되__000001,VV
ㄴ,ETM
가족__010001,NNG
을,JKO
말하__000102,VV
ㅂ니다,EF
.,SF
세계화,NNG
로,JKB
인하__010001,VV
여,EC
국가__010000,NNG
간__10,NNB
의,JKG
교류__010002,NNG
가,JKS
활발하,VA
여,EC
주__01,VX
면서,EC
한국__05,NNP
사회__070003,NNG
에,JKB
도,JX
다문화,NNG
가정__060002,NNG
의,JKG
비율__020000,NNG
이,JKS
점점__01,MAG
증가하__010000,VV
고,EC
있__01,VX
습니다,EF
.,SF
그리고,MAJ
이러하,VA
ㄴ,ETM
가정__060002,NNG
을,JKO
지원하__010000,VV
기,ETN
위하__010003,VV
ㄴ,ETM
여러,MM
정책__020000,NNG
들__09,XSN
이,JKS
시행되__000001,VV
고,EC
있__01,VX
습니다,EF
.,SF
그러나,MAJ
정책__020000,NNG
의,JKG
시행__010001,NNG
과정__030000,NNG
에서,JKB
여러,MM
가지__04,NNB
문제__060002,NNG
가,JKS
생기__000103,VV
고,EC
있__01,VX
습니다,EF
.,SF
지금__030000,NNG
부터,JX
이__05,MM
문제__060002,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
토론__010000,NNG
영상__010003,NNG
을,JKO
보__010101,VV
시,EP
겠,EP
습니다,EF
.,SF
최근__000001,NNG
외국인__000001,NNG
이주__060001,NNG
노동자__000001,NNG
가,JKS
증가하__010000,VV
고,EC
국제__020001,NNG
결혼,NNG
비율__020000,NNG
이,JKS
높아지,VV
면서,EC
다문화,NNG
가정__060002,NNG
이,JKS
급속도,NNG
로,JKB
증가하__010000,VV
고,EC
있__01,VX
습니다,EF
.,SF
다문화,NNG
가정__060002,NNG
이,JKS
증가하__010000,VV
면서,EC
다문화,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
관심__010000,NNG
이,JKS
높아지,VV
고,EC
있__01,VX
기,ETN
는,JX
하__01,VX
지만,EC
그__01,NP
에,JKB
대하__020003,VV
ㄴ,ETM
인식__000001,NNG
은,JX
부족하,VA
ㄴ,ETM
상황__020000,NNG
이,VCP
ㅂ니다,EF
.,SF
그리고,MAJ
그__01,NP
로,JKB
인하__010001,VV
ㄴ,ETM
여러,MM
문제__060002,NNG
가,JKS
