0,1
안녕하__000002,VA
세요,EF
?,SF
여러분,NP
.,SF
지금__03,MAG
무엇,NP
을,JKO
하__010101,VV
고,EC
있__01,VX
어요,EF
?,SF
여러분,NP
이,JKS
또는,MAG
다른,MM
사람__000001,NNG
이,JKS
하__010101,VV
는,ETM
행동__000001,NNG
을,JKO
한국말,NNG
로,JKB
어떻,VA
게,EC
말하__000102,VV
ㄹ까,EC
요,JX
?,SF
이__05,MM
시간__040002,NNG
에,JKB
는,JX
간단하__020101,VA
ㄴ,ETM
동사__090000,NNG
들__09,XSN
을,JKO
배우__010001,VV
어,EC
보__01,VX
겠,EP
습니다,EF
.,SF
이__05,MM
수업__040001,NNG
이,JKS
끝나__000001,VV
면,EC
",",SP
여러분,NP
은,JX
간단하__020101,VA
ㄴ,ETM
동사__090000,NNG
를,JKO
사용하__030001,VV
여,EC
누구,NP
가,JKS
어떤,MM
행동__000001,NNG
을,JKO
하__010101,VV
는지,EC
",",SP
그__01,MM
행동__000001,NNG
을,JKO
어디__01,NP
에서,JKB
하__010101,VV
는지,EC
말하__000102,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그럼__01,MAJ
대화__060000,NNG
를,JKO
듣__010201,VV
어,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
지금__03,MAG
뭐,NP
하__010101,VV
여요,EF
?,SF
식당__000002,NNG
에서,JKB
점심__000001,NNG
을,JKO
먹__020101,VV
어요,EF
.,SF
다니엘__02,NNP
씨__07,NNB
는,JX
뭐,NP
하__010101,VV
여요,EF
?,SF
영화관__010000,NNG
옆,NNG
카페,NNG
에서,JKB
차__090002,NNG
를,JKO
마시__000001,VV
어요,EF
.,SF
혼자__010000,NNG
있__010302,VA
어요,EF
?,SF
아니요,IC
",",SP
마이크,NNG
씨__07,NNB
와,JKB
함께,MAG
있__010302,VA
어요,EF
.,SF
페이,NNG
씨__07,NNB
도,JX
빨리,MAG
오__010101,VV
세요,EF
.,SF
지금__03,MAG
뭐,NP
하__010101,VV
여요,EF
?,SF
식당__000002,NNG
에서,JKB
점심__000001,NNG
을,JKO
먹__020101,VV
어요,EF
.,SF
다니엘__02,NNP
씨__07,NNB
는,JX
뭐,NP
하__010101,VV
여요,EF
?,SF
영화관__010000,NNG
옆,NNG
카페,NNG
에서,JKB
차__090002,NNG
를,JKO
마시__000001,VV
어요,EF
.,SF
혼자__010000,NNG
있__010302,VA
어요,EF
?,SF
아니요,IC
",",SP
마이크,NNG
씨__07,NNB
와,JKB
함께,MAG
있__010302,VA
어요,EF
.,SF
페이,NNG
씨__07,NNB
도,JX
빨리,MAG
오__010101,VV
세요,EF
.,SF
문법__010000,NNG
표현__000001,NNG
을,JKO
살펴보__000003,VV
ㅂ시다,EF
.,SF
3,SN
가지__04,NNB
