0,1
안녕하__000002,VA
세요,EF
.,SF
고급__020001,NNG
과정__030000,NNG
의,JKG
두__01,MM
번째,NNB
단계__030000,NNG
를,JKO
함께,MAG
공부하,VV
게,EC
되__010401,VV
ㄹ,ETM
성균관대학교,NNP
오광근,NNP
이,VCP
ㅂ니다,EF
.,SF
고급__020001,NNG
과정__040002,NNG
의,JKG
첫,MM
번째,NNB
단계__030000,NNG
가,JKS
뉴스__000001,NNG
와,JKB
대화__060000,NNG
로,JKB
구성되__000001,VV
었,EP
다면,EC
두__01,MM
번째,NNB
단계__030000,NNG
에서,JKB
는,JX
대화__060000,NNG
뿐,JX
만,JX
아니,VCN
라,EC
담화__030001,NNG
",",SP
강의__020000,NNG
",",SP
토론__010000,NNG
",",SP
다큐멘터리,NNG
",",SP
발표__010000,NNG
등__05,NNB
다양하__010000,VA
게,EC
제시__020001,NNG
되__010401,VV
ㄴ,ETM
자료__030001,NNG
들__09,XSN
을,JKO
통하__000704,VV
여,EC
고급__020001,NNG
한국어,NNG
를,JKO
익히__020001,VV
게,EC
되__010401,VV
ㄹ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
여러분,NP
은,JX
이제__010000,NNG
부터,JX
저__03,NP
와,JKB
함께,MAG
다양하__010000,VA
ㄴ,ETM
영상__010003,NNG
을,JKO
보__010101,VV
ㄴ,ETM
후__080001,NNG
그__01,MM
영상__010003,NNG
의,JKG
중심__010002,NNG
내용__020003,NNG
을,JKO
확인하__000001,VV
고,EC
그것,NP
을,JKO
정리하__000101,VV
게,EC
되__010401,VV
ㄹ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
유용하__010000,VA
ㄴ,ETM
표현__000001,NNG
들__09,XSN
은,JX
오늘__000101,NNG
의,JKG
표현__000001,NNG
에서,JKB
학습하,VV
면,EC
되__010401,VV
ㅂ니다,EF
.,SF
그럼__01,MAJ
시작하__010001,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
여러분,NP
은,JX
한국__05,NNP
의,JKG
서울__01,NNP
에,JKB
오__010101,VV
아,EC
보__01,VX
시,EP
ㄴ,ETM
적__03,NNB
있__010302,VA
습니까,EF
?,SF
서울__01,NNP
에,JKB
는,JX
다른,MM
여러,MM
도시__030000,NNG
와,JKB
마찬가지,NNG
로,JKB
지하철,NNG
",",SP
버스__020001,NNG
",",SP
택시,NNG
등__05,NNB
다양하__010000,VA
ㄴ,ETM
교통수단,NNG
들__09,XSN
이,JKS
있__010302,VA
습니다,EF
.,SF
특히,MAG
서울__01,NNP
에서,JKB
는,JX
지하철,NNG
과,JC
버스__020001,NNG
를,JKO
이용하__010001,VV
여,EC
서울__01,NNP
곳곳,NNG
을,JKO
편리하,VA
게,EC
이동하__000001,VV
ㄹ,ETM
수__02,NNB
