0,1
한국어,NNP
중급,NNG
1,SN
",",SP
다른,MM
사람__000007,NNG
들__09,XSN
이,JKS
불편하__010201,VA
ㄹ,ETM
터__02,NNB
이,VCP
니까,EC
다른,MM
곳__010001,NNG
으로,JKB
가__010101,VV
아요,EF
.,SF
안녕하__000002,VA
세요,EF
?,SF
저__03,NP
는,JX
이수미,NNP
이,VCP
ㅂ니다,EF
.,SF
여러분,NP
은,JX
이__05,MM
수업__040001,NNG
후__080001,NNG
",",SP
공공장소,NNG
에서,JKB
다른,MM
사람__000007,NNG
을,JKO
배려하__020000,VV
는,ETM
말__010003,NNG
을,JKO
하__010101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그리고,MAJ
나__03,NP
의,JKG
의지__060001,NNG
를,JKO
표현하,VV
는,ETM
말__010003,NNG
을,JKO
사용하__030001,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
을,JKO
살펴보__000003,VV
겠,EP
습니다,EF
.,SF
방해__010000,NNG
가,JKC
되__010401,VV
다,EC
다른,MM
사람__000007,NNG
의,JKG
공부__010000,NNG
에,JKB
방해되,VV
ㄹ,ETM
것__01,NNB
같__000400,VA
아서,EC
조용히,MAG
하__010101,VV
였,EP
어요,EF
.,SF
큰소리__010002,NNG
로,JKB
이야기하__000101,VV
다,EC
도서관,NNG
에서,JKB
는,JX
큰소리__010002,NNG
로,JKB
이야기하__000101,VV
면,EC
안__02,MAG
되__010401,VV
어요,EF
.,SF
다른,MM
사람__000001,NNG
들__09,XSN
이,JKS
불편하__010202,VA
다,EC
공공장소,NNG
에서,JKB
는,JX
다른,MM
사람__000007,NNG
들__09,XSN
이,JKS
불편하__010202,VA
지,EC
않,VX
게,EC
조심하__020000,VV
여야,EC
하__01,VX
여요,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
모두__01,MAG
확인하__000001,VV
였,EP
어요,EF
?,SF
그럼__01,MAJ
학습__000001,NNG
을,JKO
시작하__010001,VV
여,EC
보__01,VX
겠,EP
습니다,EF
.,SF
유나,NNP
씨__07,NNB
와,JC
제임스__99,NNP
씨__07,NNB
가,JKS
발표__010000,NNG
준비,NNG
를,JKO
하__010101,VV
려고,EC
카페,NNG
에서,JKB
만나__000102,VV
았,EP
어요,EF
.,SF
유나,NNP
씨__07,NNB
와,JC
제임스__99,NNP
씨__07,NNB
의,JKG
대화__060000,NNG
를,JKO
듣__010201,VV
어,EC
보__01,VX
세요,EF
.,SF
이__05,MM
카페,NNG
분위기__000002,NNG
가,JKS
좋__010201,VA
아요,EF
.,SF
카페,NNG
에서,JKB
일하,VV
거나,EC
공부하,VV
는,ETM
사람__000001,NNG
들__09,XSN
이,JKS
많,VA
네,EC
요,JX
.,SF
네__03,IC
",",SP
저__03,NP
도,JX
여기__01,NP
공부하,VV
러,EC
가끔,MAG
오__010101,VV
는,ETM
곳__010001,NNG
이,VCP
에요,EF
.,SF
여기__01,NP
는,JX
공부하,VV
는,ETM
사람__000001,NNG
한테,JKB
방해__010000,NNG
가,JKC
되__010401,VV
ㄹ까,EC
보__01,VX
아,EC
큰소리__010002,NNG
로,JKB
이야기__000001,NNG
를,JKO
못하__000100,VV
겠,EP
어요,EF
.,SF
카페,NNG
가,JKS
커피__000002,NNG
마시__000001,VV
면서,EC
이야기하__000101,VV
는,ETM
곳__010001,NNG
이,VCP
ㄴ데,EC
요즘,NNG
대학생,NNG
들__09,XSN
은,JX
카페,NNG
에서,JKB
공부__010000,NNG
를,JKO
더__01,MAG
많이,MAG
하__010101,VV
는,ETM
것__01,NNB
같__000400,VA
아요,EF
.,SF
그런__01,MM
것__01,NNB
같__000400,VA
아요,EF
.,SF
아__02,IC
",",SP
제__01,NP
가,JKS
오늘__000101,NNG
커피__000002,NNG
살__010302,VV
ㄹ,ETM
터__02,NNB
이,VCP
니까,EC
맛있,VA
는,ETM
것__01,NNB
들__040100,VV
세요,EF
.,SF
고맙__010000,VA
어요,EF
.,SF
그런데,MAJ
여기__01,NP
에서,JKB
발표__010000,NNG
준비,NNG
를,JKO
하__010101,VV
면,EC
다른,MM
사람__000007,NNG
들__09,XSN
이,JKS
불편하__010201,VA
ㄹ,ETM
터__02,NNB
이,VCP
니까,EC
다른,MM
곳__010001,NNG
으로,JKB
가__010101,VV
아요,EF
.,SF
좋__010201,VA
아요,EF
.,SF
유나,NNP
씨__07,NNB
가,JKS
