0,1
안녕하__000002,VA
세요,EF
.,SF
반갑,VA
습니다,EF
.,SF
고급__020001,NNG
과정__040002,NNG
에,JKB
두__01,MM
번째,NNB
단계__030000,NNG
를,JKO
함께,MAG
공부하,VV
게,EC
되__010401,VV
ㄴ,ETM
성균관대학교,NNP
현원숙,NNP
이,VCP
ㅂ니다,EF
.,SF
고급__020001,NNG
1,SN
단계__030000,NNG
가,JKS
뉴스__000001,NNG
와,JKB
대화__060000,NNG
로,JKB
구성되__000001,VV
었,EP
다,EC
면,EC
고급__020001,NNG
2,SN
단계__030000,NNG
에서,JKB
는,JX
대화__060000,NNG
와,JC
표현__000001,NNG
연습하__020000,VV
기,ETN
뿐__01,NNB
만,JX
아니,VCN
라,EC
역사__040001,NNG
",",SP
과학,NNG
",",SP
경제__040001,NNG
",",SP
문화__010001,NNG
",",SP
사회적,MM
내용__020003,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
강의__020000,NNG
",",SP
토론__010000,NNG
",",SP
다큐멘터리,NNG
",",SP
발표__010000,NNG
등__05,NNB
다양하__010000,VA
게,EC
제시__020001,NNG
되__010401,VV
ㄴ,ETM
자료__030001,NNG
들__09,XSN
로,JKB
구성되__000001,VV
어,EC
있__01,VX
습니다,EF
.,SF
여러분,NP
은,JX
저__03,NP
와,JKB
함께,MAG
주제__040001,NNG
관련,NNG
대화__060000,NNG
를,JKO
듣__010101,VV
고,EC
내용__020003,NNG
과,JKB
대화__060000,NNG
에,JKB
나오__000101,VV
ㄴ,ETM
표현__000001,NNG
들__09,XSN
을,JKO
익히__020001,VV
게,EC
되__010401,VV
ㄹ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
또한,MAG
배우__010001,VV
ㄴ,ETM
표현__000001,NNG
들__09,XSN
이,JKS
대화__060000,NNG
상황__020000,NNG
에서,JKB
어떻,VA
게,EC
쓰이__030101,VV
는지,EC
말하__000102,VV
기,ETN
연습__030000,NNG
도,JX
하__010101,VV
ㄹ,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
그럼__01,MAJ
시작하__010001,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
여행__020000,NNG
이,JKS
주__010101,VV
는,ETM
기쁨,NNG
은,JX
일상__040000,NNG
에,JKB
행복__020002,NNG
만큼,JX
이나,JX
기쁘,VA
기,ETN
때문,NNB
에,JKB
많,VA
은,ETM
사람__000001,NNG
들__09,XSN
은,JX
여행__020000,NNG
을,JKO
좋아하__000101,VV
죠,EF
.,SF
이번__010000,NNG
시간__040004,NNG
에,JKB
는,JX
가__010101,VV
고,EC
싶,VX
은,ETM
여행지,NNG
를,JKO
주제__040002,NNG
로,JKB
하__010101,VV
ㄴ,ETM
두__01,MM
사람__000010,NNG
의,JKG
대화__060000,NNG
