0,1
안녕하__000002,VA
세요,EF
?,SF
저__03,NP
는,JX
이수미,NNP
이,VCP
ㅂ니다,EF
.,SF
여러분,NP
은,JX
이__05,MM
수업__040001,NNG
후__080001,NNG
",",SP
여러분,NP
자신__010001,NNG
이,JKS
지금__03,MAG
하__010101,VV
고,EC
있__01,VX
는,ETM
일__010010,NNG
을,JKO
소개하__010002,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
그리고,MAJ
소개__020003,NNG
와,JC
관련되,VV
ㄴ,ETM
표현__000001,NNG
과,JC
문법__010000,NNG
을,JKO
이해하__020101,VV
고,EC
사용하__030001,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
습니다,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
을,JKO
살펴보__000003,VV
겠,EP
습니다,EF
.,SF
이름__000002,NNG
을,JKO
부르__010104,VV
다,EF
.,SF
친구__020001,NNG
가,JKS
저__03,NP
의,JKG
이름__000002,NNG
을,JKO
부르__010102,VV
었,EP
어요,EF
.,SF
회사__040000,NNG
에,JKB
다니__000103,VV
다,EF
.,SF
저__03,NP
는,JX
중국__01,NNP
회사__040000,NNG
에,JKB
다니__000103,VV
어요,EF
.,SF
역사__040001,NNG
를,JKO
가르치__010101,VV
다,EF
.,SF
어머니__010001,NNG
는,JX
대학교,NNG
에서,JKB
역사__040001,NNG
를,JKO
가르치__010101,VV
세요,EF
.,SF
오늘__000101,NNG
의,JKG
핵심,NNG
표현__000001,NNG
",",SP
모두__01,MAG
확인하__000001,VV
였,EP
어요,EF
?,SF
그럼__01,MAJ
",",SP
학습__000001,NNG
을,JKO
시작하__010001,VV
여,EC
보__01,VX
겠,EP
습니다,EF
.,SF
왕__040001,NNG
량__050000,NNG
씨__07,NNB
와,JC
히__88,NNG
에,JKB
ㄴ,JX
씨__07,NNB
가,JKS
처음,NNG
만나__000102,VV
아서,EC
이야기하__000101,VV
여요,EF
.,SF
대화__060000,NNG
를,JKO
듣__010201,VV
어,EC
보__01,VX
세요,EF
.,SF
안녕하__000002,VA
세요,EF
?,SF
저__03,NP
는,JX
왕__040001,NNG
량__050000,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
저__03,NP
는,JX
응우엔,NNP
히엔,NNG
이,VCP
라고,EC
하__010701,VV
여요,EF
.,SF
히엔,NNG
이,VCP
라고,EC
부르__010300,VV
세요,EF
.,SF
히__88,NNG
에,JKB
ㄴ,JX
씨__07,NNB
는,JX
무슨,MM
일__010001,NNG
을,JKO
하__010101,VV
여요,EF
?,SF
저__03,NP
는,JX
한국어,NNP
를,JKO
배우__010001,VV
고,EC
있__01,VX
어요,EF
.,SF
왕__040001,NNG
량__050000,NNG
씨__07,NNB
는,JX
요,JX
