0,1
자__04,IC
지금__030000,NNG
부터,JX
는,JX
3,SN
주__26,NNB
차__03,NNB
2,SN
차__03,NNB
시__10,NNB
강의__020000,NNG
를,JKO
시작하__010001,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
3,SN
주__26,NNB
차__03,NNB
1,SN
차__03,NNB
시__10,NNB
에서,JKB
자음__010000,NNG
(,SS
비음__010000,NNG
,
유음__050000,NNG
),SS
에,JKB
대하__020003,VV
여서,EC
공부__010000,NNG
를,JKO
하__010101,VV
였,EP
고,EC
이번__010000,NNG
에,JKB
는,JX
이번__010000,NNG
차시,NNG
에,JKB
는,JX
이중__030001,NNG
모음__020000,NNG
의,JKG
j,SL
이계__010000,NNG
이,VCP
라고,EC
발음하__010000,VV
는데,EC
이중__030001,NNG
모음__020000,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
공부__010000,NNG
를,JKO
하__010101,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
학습__000001,NNG
목표__000001,NNG
는,JX
요,JX
이중__030001,NNG
모음__020000,NNG
‘,SS
이계__99,NNP
’,SS
스펠링,NNG
상__250000,NNG
은,JX
j,SL
이,VCP
지만,EC
발음__010000,NNG
은,JX
‘,SS
이__05,MM
’,SS
‘,SS
이__05,MM
’,SS
‘,SS
이계__99,NNP
’,SS
를,JKO
발음하__010000,VV
는,ETM
방법__000001,NNG
을,JKO
알__000101,VV
고,EC
발음하__010000,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
다,EF
.,SF
자__04,IC
우선__070000,NNG
은,JX
이중__030001,NNG
모음__020000,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
설명,NNG
을,JKO
제__01,NP
가,JKS
하나,NR
드리__010001,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
이중__030001,NNG
모음__020000,NNG
이란__03,NNP
것__01,NNB
ㄴ,JX
뭐,NP
이,VCP
냐면,EC
모음__020000,NNG
이,VCP
라는,ETM
거__01,NNB
단모음,NNG
은,JX
원래__010000,NNG
입__000001,NNG
의,JKG
모양__020001,NNG
이,JKS
바뀌__000301,VV
면,EC
안__02,MAG
되__010401,VV
는,ETM
소리__010002,NNG
이,VCP
에요,EF
.,SF
하__010101,VV
여,EC
보__01,VX
ㄹ까,EC
요,JX
내__04,NP
가,JKS
요,JX
?,SF
보__010101,VV
아요,EC
",",SP
‘,SS
아__02,IC
’,SS
‘,SS
아__02,IC
’,SS
라고,JKQ
하__010101,VV
면,EC
입__000001,NNG
이,JKS
처음,NNG
부터,JX
끝__010001,NNG
까지,JX
입__000001,NNG
이,JKS
벌어지__010101,VV
ㄴ,ETM
상태__010001,NNG
에서,JKB
계속__04,MAG
입__000001,NNG
모양__020001,NNG
이,JKS
유지__090000,NNG
가,JKC
되__010401,VV
는데,EC
이중__030001,NNG
모음__020000,NNG
이,VCP
라는,ETM
것__01,NNB
은,JX
뭐,NP
이,VCP
냐면,EC
중간__010004,NNG
에,JKB
입__000001,NNG
모양__020001,NNG
이,JKS
바뀌__000301,VV
는,ETM
음__040001,NNG
을,JKO
우리__03,NP
가,JKS
이중__030001,NNG
모음__020000,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
그러면,MAJ
왜__02,MAG
입__000001,NNG
모양__020001,NNG
이,JKS
바뀌__000301,VV
느냐,EC
사실__040001,NNG
은,JX
이중__030001,NNG
모음__020000,NNG
은,JX
모음__020000,NNG
과,JC
모음__020000,NNG
앞__000001,NNG
에,JKB
오__010101,VV
는,ETM
모음__020000,NNG
도,JX
아니,VCN
고,EC
자음__010000,NNG
도,JX
아니,VCN
ㄴ,ETM
이상하__000001,VA
ㄴ,ETM
것__01,NNB
이,JKS
하나__000204,NNG
가,JKS
있__010302,VA
는데,EC
그것,NP
ㄹ,JKO
우리__03,NP
가,JKS
반모음,NNG
이,VCP
라고,EC
도,JX
하__010101,VV
고,EC
반__110004,NNG
자음__010000,NNG
이,VCP
라고,EC
도,JX
하__010101,VV
고,EC
활음,NNG
이,VCP
라고,EC
도,JX
하__010101,VV
는데,EC
순간__030002,NNG
적__130001,NNG
으로,JKB
어떠하,VA
ㄴ,ETM
반쪽__000001,NNG
짜리__02,XSN
성격__020001,NNG
을,JKO
가지__000102,VV
ㄴ,ETM
반쪽__000001,NNG
짜리__02,XSN
모음__020000,NNG
의,JKG
성격__020001,NNG
혹은,MAG
반쪽__000001,NNG
짜리__02,XSN
자음__010000,NNG
모음__020000,NNG
이,VCP
라고,EC
하__010701,VV
ㄹ,ETM
수__02,NNB
도,JX
없__010106,VA
고,EC
자음__010000,NNG
이,VCP
라고,EC
하__010701,VV
ㄹ,ETM
수__02,NNB
도,JX
없__010106,VA
는,ETM
것__01,NNB
이,JKS
오__010101,VV
고,EC
이__05,MM
두__01,MM
소리__010001,NNG
가,JKS
합하__000001,VV
여,EC
나__010403,VV
는,ETM
소리__010001,NNG
이,VCP
기,ETN
때문,NNB
에,JKB
단모음,NNG
이,VCP
라고,EC
이야기하__000101,VV
지,EC
않,VX
고,EC
이중__030001,NNG
모음__020000,NNG
이,VCP
라고,EC
이야기__000001,NNG
를,JKO
하__010101,VV
는,ETM
것__01,NNB
이,VCP
ㅂ니다,EF
.,SF
그런데,MAJ
우리__03,NP
가,JKS
지금__03,MAG
이번__010000,NNG
차__03,NNB
시__10,NNB
에서,JKB
공부하,VV
ㄹ,ETM
이중__030001,NNG
