0,1
자__04,IC
한국어,NNP
경음__010000,NNG
은,JX
이렇,VA
게,EC
지금__030000,NNG
다섯,NR
가지__04,NNB
가,JKS
이렇,VA
게,EC
있__01,VX
다고,EC
하__010101,VV
ㄹ,ETM
수__02,NNB
가,JKS
있__010305,VA
겠,EP
어요,EF
.,SF
제__01,NP
가,JKS
한번__000101,NNG
발음하__010000,VV
여,EC
보__01,VX
ㄹ게,EC
요,JX
.,SF
-,SO
쁘,NNG
-,SO
뜨,NNG
-,SO
쯔,MAG
-,SO
끄,NNG
-,SO
쓰__010000,NNG
이런__01,MM
식__04,NNB
으로,JKB
물론__01,MAG
뒤__010002,NNG
에서,JKB
다시__01,MAG
한__01,MM
번__04,NNB
설명하,VV
겠,EP
지만,EC
한국어,NNP
경음__010000,NNG
을,JKO
발음하__010000,VV
는,ETM
방법__000001,NNG
에,JKB
특색,NNG
이,VCP
라고,EC
하__010701,VV
면,EC
특색,NNG
이,VCP
라고,EC
하__010701,VV
면,EC
여러분,NP
여기__01,NP
성대__080000,NNG
성대__080000,NNG
에,JKB
긴장__000001,NNG
성__17,XSN
이,VCP
에요,EF
.,SF
성대__99,NNP
성대__080000,NNG
의,JKG
긴장__000002,NNG
성__17,XSN
성대__080000,NNG
가,JKS
긴장__000001,NNG
을,JKO
하__010101,VV
여야,EC
되__010401,VV
는,ETM
것__01,NNB
이,VCP
죠,EF
.,SF
그래서,MAJ
-,SO
브,NNG
하__010101,VV
ㄹ,ETM
때__010001,NNG
평음,NNG
-,SO
브,NNG
하__010101,VV
ㄹ,ETM
때__010001,NNG
와,JKB
다르__010001,VA
게,EC
-,SO
쁘,NNG
하,XSV
면,EC
여기__01,NP
가,JKS
한__01,MM
번__04,NNB
여러분,NP
저__03,NP
의,JKG
손__010001,NNG
을,JKO
한__01,MM
번__04,NNB
보__010101,VV
세요,EF
.,SF
거기__01,NP
가,JKS
근육,NNG
에,JKB
힘__010001,NNG
이,JKS
들어가__010101,VV
는,ETM
것__01,NNB
ㄹ,JKO
여러분,NP
들__09,XSN
이,JKS
느끼__020002,VV
ㄹ,ETM
수__02,NNB
