0,1
서로__01,MAG
다르__010001,VA
ㄴ,ETM
문화__010001,NNG
가,JKS
함께,MAG
존재하__000001,VV
는,ETM
사회__070003,NNG
를,JKO
다문화,NNG
사회__070003,NNG
이,VCP
라고,EC
하__010701,VV
ㅂ니다,EF
.,SF
나__03,NP
와,JC
외모__020000,NNG
나,JC
문화__010001,NNG
가,JKS
다르__010001,VA
아,EC
어색하__020100,VA
다는,ETM
이유__040001,NNG
로,JKB
상대__040002,NNG
를,JKO
싫어하,VV
거나,EC
무시하__000001,VV
는,ETM
것__01,NNB
은,JX
옳__010001,VA
지,EC
못하,VX
ㄴ,ETM
모습__010002,NNG
이,VCP
겠,EP
지,EC
요,JX
.,SF
이번__010000,NNG
시간__040004,NNG
에,JKB
는,JX
한국__05,NNP
에서,JKB
살__010200,VV
고,EC
있__01,VX
는,ETM
다른,MM
나라__010001,NNG
사람__000001,NNG
들__09,XSN
의,JKG
대화__060000,NNG
를,JKO
통하__000704,VV
여,EC
차이,NNG
와,JC
차별,NNG
에,JKB
대하__020003,VV
여서,EC
생각하__000101,VV
여,EC
보__01,VX
ㅂ시다,EF
.,SF
그리고,MAJ
표현__000001,NNG
들__09,XSN
로,JKB
는,JX
어떤,MM
행위__000001,NNG
를,JKO
계속하__030001,VV
면,EC
안__02,MAG
좋__010201,VA
은,ETM
결과__020002,NNG
가,JKS
생기__000101,VV
ㄹ,ETM
수__02,NNB
있__010305,VA
음,ETN
을,JKO
나타내__000200,VV
는,ETM
?,SF
는,JX
수__02,NNB
가,JKS
있__010302,VA
다,EF
.,SF
상황__020000,NNG
이,JKS
그렇__000001,VA
다고,EC
하__010701,VV
여도,EC
그것,NP
과,JKB
관계없이,MAG
어떤,MM
것__01,NNB
을,JKO
하__010101,VV
여야,EC
하__01,VX
ㅁ,ETN
을,JKO
나타내__000200,VV
는,ETM
아무리,MAG
-,SO
을,JKO
지라도,EC
앞__000001,NNG
의,JKG
행동__000001,NNG
이,JKS
뒤__010002,NNG
에,JKB
상황__020000,NNG
에,JKB
대하__020003,VV
ㄴ,ETM
조건__020002,NNG
이,JKC
되__010401,VV
ㅁ,ETN
을,JKO
나타내__000200,VV
는,ETM
?,SF
는,JX
한__050000,NNG
을,JKO
공부하,VV
도록,EC
하__01,VX
겠,EP
습니다,EF
.,SF
자__04,IC
그럼__01,MAJ
대화__060000,NNG
를,JKO
들__040201,VV
어,EC
보__01,VX
ㄹ까,EC
요,JX
?,SF
폴__99,NNP
",",SP
얼굴__010002,NNG
이,JKS
안__02,MAG
좋__010101,VA
아,EC
보이__010200,VV
는데,EC
무슨,MM
걱정거리,NNG
라도,JX
있__010302,VA
나,EC
요,JX
?,SF
실은,MAG
얼마__000003,NNG
전__080002,NNG
우연히,MAG
한__01,MM
부장__070000,NNG
님__04,XSN
을,JKO
만나__000102,VV
아,EC
인사__020001,NNG
로,JKB
악수__060000,NNG
를,JKO
하__010101,VV
였,EP
는데,EC
부장__070000,NNG
님__04,XSN
께서,JKS
꽤__01,MAG
당황스럽,VA
어,EC
하__010101,VV
시,EP
었,EP
어요,EF
.,SF
그때,NNG
는,JX
왜__02,MAG
그러__000001,VV
는지,EC
잘__02,MAG
모르__000102,VV
았,EP
어요,EF
.,SF
그런데,MAJ
나중__010001,NNG
에,JKB
한국__05,NNP
에서,JKB
는,JX
윗사람__000002,NNG
과,JC
악수하,VV
ㄹ,ETM
때__010001,NNG
주머니__000002,NNG
에,JKB
손__010001,NNG
을,JKO
넣__000101,VV
은,ETM
채__09,NNB
로,JKB
하__010101,VV
는,ETM
것__01,NNB
은,JX
무례하,VA
다는,ETM
것__01,NNB
